Country Name,Country Code,Series Name,Series Code,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Brunei Darussalam,BRN,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,30313.4138627573,30401.843825384,29673.1658770638,28954.0640896097,29132.9468543775
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,438048,441725,445373,449002,452524
Bulgaria,BGR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,57465808373.0429,55186624687.9964,59414884842.2963,61747770024.9603,62887874404.3567
Bulgaria,BGR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,8237.92678290482,7958.82683957222,8638.7183764058,9550.94254965707,9779.82206379364
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6975761,6934015,6877743,6465097,6430370
Burkina Faso,BFA,GDP (constant 2015 US$),NY.GDP.MKTP.KD,15030172259.3475,15332394848.4963,16396333530.0794,16687846475.1415,17181836771.1356
Burkina Faso,BFA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,717.374533770247,712.38495007516,741.892616172966,735.998131899835,738.956534222892
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,20951639,21522626,22100683,22673762,23251485
Burundi,BDI,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3207836406.88248,3218331064.79216,3318099327.75908,3379450965.7308,3470696161.98259
Burundi,BDI,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,270.137277399698,263.360988694576,264.364832925637,262.184804661597,262.16570564686
Burundi,BDI,"Population, total",SP.POP.TOTL,11874838,12220227,12551213,12889576,13238559
Cabo Verde,CPV,GDP (constant 2015 US$),NY.GDP.MKTP.KD,2116002111.09658,1675762033.51382,1793627260.6,2106419343.41834,2214881716.09068
Cabo Verde,CPV,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,3667.0573646025,2876.15342838428,3050.77562716333,3551.24824187234,3699.59630670486
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,577030,582640,587925,593149,598682
Cambodia,KHM,GDP (constant 2015 US$),NY.GDP.MKTP.KD,23760061873.1442,23024448758.1861,23721258226.4991,24964207155.8037,26312274342.2057
Cambodia,KHM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1465.96953537797,1404.19865499773,1429.93702682184,1488.81455084105,1552.82056848537
Cambodia,KHM,"Population, total",SP.POP.TOTL,16207746,16396860,16589023,16767842,16944826
Cameroon,CMR,GDP (constant 2015 US$),NY.GDP.MKTP.KD,37502066833.8441,37599547049.6907,38854942335.7204,40247035779.5754,41854256684.2359
Cameroon,CMR,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,1454.56406902089,1419.32820837781,1428.56258542601,1441.79490497622,1461.01960433874
Cameroon,CMR,"Population, total",SP.POP.TOTL,25782341,26491087,27198628,27914536,28647293
